,city,lat,lon,max_temp,humidity,cloudiness,wind speed,country,date
372,Natchez,31.56,-91.4,78.8,94,90,5.41,US,1593693080
373,Lagoa,39.05,-27.98,65.68,72,2,6.11,PT,1593693080
374,Hervey Bay,-25.3,152.85,59.0,83,0,4.0,AU,1593693081
375,Ostrovnoy,68.05,39.51,65.64,63,88,9.33,RU,1593693081
376,La Ronge,55.1,-105.28,59.0,100,40,8.05,CA,1593693082
377,Likasi,-10.98,26.73,76.55,32,81,4.52,CD,1593693082
378,Sakakah,29.97,40.21,102.2,8,0,2.8,SA,1593693083
379,Pangnirtung,66.15,-65.71,53.6,58,40,3.36,CA,1593693083
380,Codajás,-3.84,-62.06,79.41,84,79,1.23,BR,1593693084
381,Goroka,-6.08,145.39,61.05,88,100,1.32,PG,1593693084
382,College,64.86,-147.8,45.0,81,40,5.82,US,1593693018
383,Acajutla,13.59,-89.83,69.01,99,4,5.01,SV,1593693085
384,Sept-Îles,50.2,-66.38,61.0,93,75,6.93,CA,1593693057
385,Laguna,38.42,-121.42,57.0,87,1,8.05,US,1593693087
386,Shahrud,36.42,54.98,81.34,28,0,20.87,IR,1593693087
387,Berbera,10.44,45.01,101.98,31,0,23.47,SO,1593693088
388,Bam,29.11,58.36,106.21,9,45,11.41,IR,1593693088
389,Tierralta,8.17,-76.06,76.78,88,100,2.73,CO,1593693089
390,Gorontalo,0.54,123.06,76.1,87,100,4.5,ID,1593693089
391,Beian,63.66,9.57,57.2,50,40,10.29,NO,1593693090
392,Mossamedes,-15.2,12.15,78.8,61,0,12.75,AO,1593693091
393,Naze,28.37,129.48,80.6,94,75,8.05,JP,1593693091
394,Katiuzhanka,50.81,30.14,87.8,38,51,11.18,UA,1593693092
395,Sambava,-14.27,50.17,76.23,67,7,18.25,MG,1593693093
396,Kaitangata,-46.28,169.85,37.0,83,7,1.99,NZ,1593693093
397,Okhotsk,59.38,143.3,53.55,93,100,2.15,RU,1593692522
398,Sisimiut,66.94,-53.67,51.19,59,0,7.2,GL,1593693094
399,Témeni,38.23,22.12,87.01,43,5,5.01,GR,1593693095
400,Mil'kovo,54.72,158.62,49.42,92,100,5.46,RU,1593693096
401,Bonthe,7.53,-12.51,78.58,87,100,7.14,SL,1593693096
402,Zyryanka,65.75,150.85,50.58,59,99,4.03,RU,1593693097
403,Cururupu,-1.83,-44.87,86.2,63,12,4.63,BR,1593693097
404,Xining,36.62,101.77,64.45,51,100,11.77,CN,1593693041
405,Yamada,39.47,141.95,67.33,85,13,9.8,JP,1593693098
406,Bulgan,48.81,103.53,61.11,78,95,5.48,MN,1593693099
407,Shuangyang,43.52,125.67,75.2,69,20,2.24,CN,1593693100
408,Iringa,-7.77,35.7,71.24,43,50,9.89,TZ,1593693100
409,Żurrieq,35.83,14.47,93.2,21,0,11.41,MT,1593693101
410,Otane,-39.88,176.63,42.01,88,23,3.0,NZ,1593693101
411,São Raimundo das Mangabeiras,-7.02,-45.48,87.12,42,19,6.17,BR,1593693102
412,Chernyshevskiy,63.01,112.47,65.8,52,92,6.93,RU,1593693102
413,Pisco,-13.7,-76.22,54.0,93,40,3.36,PE,1593693084
414,Khovu-Aksy,51.13,93.6,66.99,65,100,2.8,RU,1593693103
415,Morgan City,29.7,-91.21,82.4,100,1,6.26,US,1593693104
416,Soto la Marina,23.77,-98.22,75.99,96,100,1.01,MX,1593693104
417,Olinda,-8.01,-34.86,80.6,74,40,4.7,BR,1593693105
418,Clarence Town,-32.58,151.78,57.0,76,0,4.7,AU,1593693106
419,Hyères,43.12,6.12,81.0,69,100,11.41,FR,1593693081
420,Tura,25.52,90.22,77.5,95,100,5.57,IN,1593693107
421,Teguise,29.06,-13.56,77.0,69,20,21.92,ES,1593693107
422,Bilma,18.69,12.92,108.43,7,0,8.79,NE,1593693108
423,Tutóia,-2.76,-42.27,84.07,68,0,10.49,BR,1593693108
424,Fort Nelson,58.81,-122.7,55.67,98,100,9.69,CA,1593693109
425,Merauke,-8.47,140.33,76.86,86,93,16.28,ID,1593693109
426,Mandiana,10.63,-8.68,88.12,54,63,6.42,GN,1593693110
427,Burgeo,47.62,-57.62,63.32,91,100,4.85,CA,1593693110
428,Reedley,36.6,-119.45,66.2,42,20,4.23,US,1593692825
429,Ola,59.58,151.28,47.46,79,0,2.89,RU,1593693111
430,Mīrābād,30.44,61.84,113.04,6,0,15.93,AF,1593693112
431,Pudozh,61.81,36.53,69.94,52,0,9.86,RU,1593693112
432,Natal,-5.79,-35.21,78.8,83,40,8.05,BR,1593693113
433,Iporá,-16.44,-51.12,67.46,84,83,5.57,BR,1593693114
434,Neiafu,-18.65,-173.98,75.2,73,75,4.7,TO,1593693115
435,Sumkino,58.11,68.32,67.37,65,81,7.14,RU,1593693115
436,Bud,39.45,-86.18,77.0,78,1,4.7,US,1593693116
437,Santa Cruz de la Sierra,-17.8,-63.17,62.6,51,75,9.17,BO,1593692980
438,Puerto Escondido,15.85,-97.07,75.2,78,75,5.82,MX,1593693117
439,Coffs Harbour,-30.3,153.13,55.4,76,0,1.12,AU,1593693117
440,Kiama,-34.68,150.87,62.01,70,82,1.99,AU,1593693118
441,Qiongshan,20.01,110.35,84.2,74,75,2.24,CN,1593693118
442,Prince Rupert,54.32,-130.32,51.8,100,90,4.7,CA,1593693042
443,Flinders,-34.58,150.86,62.01,62,80,5.99,AU,1593693120
444,Tuatapere,-46.13,167.68,39.0,83,4,3.0,NZ,1593693120
445,Gbarnga,7.0,-9.47,82.69,66,99,3.33,LR,1593693121
446,Belaya Gora,68.53,146.42,52.81,57,68,9.89,RU,1593693122
447,Cascais,38.7,-9.42,75.0,53,20,14.99,PT,1593693122
448,Galesong,-5.32,119.37,78.8,94,20,4.7,ID,1593693123
449,Oranjestad,12.52,-70.03,84.2,74,40,24.16,AW,1593692926
450,Taoudenni,22.68,-3.98,117.32,5,0,8.68,ML,1593693124
451,San Francisco,37.77,-122.42,57.0,76,20,5.82,US,1593692705
452,Acton Vale,45.65,-72.57,73.0,97,84,1.01,CA,1593693125
453,Buala,-8.14,159.59,79.93,82,100,8.34,SB,1593693125
454,Portland,45.52,-122.68,55.99,82,75,2.98,US,1593692914
455,Pangoa,-12.12,-73.0,69.35,90,99,1.19,PE,1593693126
456,Kholtoson,50.3,103.31,63.64,62,54,4.12,RU,1593693127
457,Petropavlovka,50.61,105.32,71.69,51,51,6.2,RU,1593693127
458,Sakleshpur,12.97,75.78,68.56,94,100,9.13,IN,1593693128
459,Soe,-9.86,124.28,59.9,95,12,5.68,ID,1593693129
460,Eyl,7.98,49.82,92.89,34,34,27.83,SO,1593693130
461,Zakamensk,50.37,103.29,65.07,59,36,4.34,RU,1593693130
462,Ayan,56.45,138.17,53.02,79,100,11.27,RU,1593693131
463,Plouzané,48.38,-4.62,62.6,77,75,11.41,FR,1593693131
464,Namatanai,-3.67,152.43,79.07,77,0,5.84,PG,1593693132
465,Mogadishu,2.04,45.34,82.4,65,75,23.04,SO,1593693132
466,Ihosy,-22.4,46.12,65.14,65,4,11.95,MG,1593693133
467,Xuchang,34.02,113.82,77.0,83,0,4.47,CN,1593693133
468,Durban,-29.86,31.03,79.0,40,0,6.93,ZA,1593693134
469,Bathsheba,13.22,-59.52,84.2,74,40,20.8,BB,1593693135
470,Najrān,17.49,44.13,105.8,18,40,8.05,SA,1593693135
471,Longyearbyen,78.22,15.64,46.4,65,75,4.7,SJ,1593693136
472,Le Port,-20.94,55.29,73.4,56,75,20.8,RE,1593693136
473,Araouane,18.9,-3.53,108.95,9,0,3.02,ML,1593693137
474,Truro,50.27,-5.05,59.0,87,75,17.22,GB,1593693132
475,Beyneu,45.32,55.2,87.12,13,0,4.9,KZ,1593693138
476,Novaya Bryan’,51.72,108.27,69.8,73,40,8.95,RU,1593693139
477,Sabzawār,36.21,57.68,96.06,12,18,21.83,IR,1593693139
478,Tagusao,9.19,117.81,82.18,73,84,2.28,PH,1593693140
479,Atyrau,47.12,51.88,84.2,23,0,15.66,KZ,1593693141
480,Kobryn,52.21,24.36,75.2,73,40,11.18,BY,1593693141
481,Santiago de Cao,-7.96,-79.24,63.63,82,79,10.22,PE,1593693142
482,Xuanwu,32.07,118.81,75.2,100,90,6.71,CN,1593693142
483,Motala,58.54,15.04,66.2,51,0,18.34,SE,1593693143
484,Linhares,-19.39,-40.07,75.11,63,47,9.62,BR,1593693143
485,Vila Franca do Campo,37.72,-25.43,68.0,72,75,8.05,PT,1593693144
486,Bartica,6.4,-58.62,78.8,94,40,4.7,GY,1593693144
487,Minbu,20.18,94.88,86.77,66,99,9.89,MM,1593693145
488,Meulaboh,4.14,96.13,80.51,78,78,2.08,ID,1593693146
489,Trojes,41.76,19.96,95.0,41,0,9.17,AL,1593693147
490,High Level,58.52,-117.14,60.8,93,90,10.29,CA,1593693147
491,Tupik,54.43,119.93,60.42,86,4,2.84,RU,1593693068
492,Lata,40.16,-8.33,72.0,64,0,7.0,PT,1593693148
493,Katobu,-4.94,122.53,73.83,86,22,4.76,ID,1593693149
494,Malbork,54.04,19.03,72.0,60,20,13.87,PL,1593693149
495,Presidencia Roque Sáenz Peña,-26.79,-60.44,50.02,71,0,3.56,AR,1593693150
496,Morant Bay,17.88,-76.41,82.4,69,20,9.17,JM,1593693151
497,Port Pirie,-33.18,138.02,44.6,75,0,6.93,AU,1593693151
498,Raton,36.9,-104.44,55.99,54,1,8.05,US,1593692947
499,Fayaoué,-20.65,166.53,69.96,71,19,20.51,NC,1593693152
500,Brae,60.4,-1.35,50.0,87,40,14.99,GB,1593693153
501,Gaildorf,49.0,9.77,71.01,68,75,6.93,DE,1593693153
502,Inta,66.03,60.17,71.37,40,87,2.17,RU,1593693154
503,Lázaro Cárdenas,17.96,-102.2,80.56,67,100,7.0,MX,1593693001
504,Tongren,27.72,109.19,76.37,89,100,2.39,CN,1593693155
505,Kattivākkam,13.22,80.32,91.4,59,75,8.05,IN,1593693156
506,Mugan,35.94,101.38,64.67,48,93,7.67,CN,1593693156
507,Mandalgovi,45.76,106.27,68.95,45,93,11.34,MN,1593693157
508,Saint-Joseph,-21.37,55.62,71.6,78,75,25.28,RE,1593693157
509,Winfield,37.24,-97.0,80.6,83,1,5.82,US,1593693158
510,Santa Inês,-3.67,-45.38,81.07,78,57,1.59,BR,1593692996
511,Salta,-24.79,-65.41,35.6,51,0,2.24,AR,1593693159
512,Chicama,-7.84,-79.15,64.69,76,43,5.48,PE,1593693159
513,Ruy Barbosa,-12.28,-40.49,74.61,63,86,1.19,BR,1593693160
514,Sarab,38.61,44.99,82.31,24,19,4.25,IR,1593693161
515,Cockburn Town,21.46,-71.14,82.4,74,40,9.17,TC,1593693161
516,Matagami,49.75,-77.63,68.0,94,90,2.24,CA,1593693162
517,Manggar,-2.88,108.27,76.98,83,100,4.29,ID,1593693162
518,Maceió,-9.67,-35.74,77.0,78,75,3.36,BR,1593693038
519,Leer,8.3,30.14,83.88,65,100,6.22,SS,1593693164
520,Udachny,66.42,112.4,64.4,36,75,11.18,RU,1593693164
521,Zhangaözen,43.3,52.8,88.52,11,76,7.11,KZ,1593693165
522,Marzuq,14.4,46.47,94.55,25,68,13.85,YE,1593693165
523,Arrondissement de Rodez,44.5,2.58,71.6,60,75,12.75,FR,1593693166
524,Samarai,-10.62,150.67,77.05,80,93,13.44,PG,1593693166
525,Esim,4.87,-2.24,79.57,75,48,10.27,GH,1593693167
526,Mount Isa,-20.73,139.5,60.8,48,2,2.3,AU,1593693056
527,Kahului,20.89,-156.47,72.0,88,1,4.0,US,1593693168
528,Arcos,-20.28,-45.54,68.38,64,37,2.01,BR,1593693169
529,Adré,13.47,22.2,96.55,21,0,9.15,TD,1593693169
530,Guánica,17.97,-66.91,84.99,71,27,4.0,PR,1593693170
531,Bowen,-20.02,148.23,62.01,87,0,8.05,AU,1593693170
532,Aykhal,66.0,111.5,64.4,36,75,11.18,RU,1593693063
533,Changping,40.22,116.22,80.6,57,100,4.47,CN,1593693171
534,Usinsk,65.99,57.53,68.94,46,100,14.63,RU,1593693066
535,Changde,29.05,111.68,73.31,96,99,6.76,CN,1593693172
536,Cairns,-16.92,145.77,69.8,77,40,9.17,AU,1593693025
537,Lais,6.33,125.65,81.07,78,96,8.08,PH,1593693173
538,Pangai,-19.8,-174.35,73.4,78,75,10.29,TO,1593693174
539,São José da Coroa Grande,-8.9,-35.15,78.62,73,2,4.43,BR,1593693174
540,Port Antonio,18.18,-76.46,82.4,69,20,9.17,JM,1593693175
541,Shklo,49.96,23.54,75.2,78,75,6.71,UA,1593693175
542,South Venice,27.05,-82.42,86.0,74,75,6.89,US,1593693176
543,Bolu Province,40.67,31.58,81.79,43,25,10.4,TR,1593693072
544,Chumikan,54.72,135.31,56.21,71,97,5.08,RU,1593693177
545,Cabedelo,-6.98,-34.83,78.8,83,20,10.29,BR,1593693177
546,Yar-Sale,66.83,70.83,65.59,37,0,7.16,RU,1593693047
547,Rūdsar,37.14,50.29,80.6,47,75,4.7,IR,1593693178
548,Egvekinot,66.32,-179.17,41.2,100,100,7.58,RU,1593693179
549,Walvis Bay,-22.96,14.51,91.4,16,0,9.17,NA,1593693179
550,West Wendover,40.74,-114.07,57.2,58,1,8.05,US,1593693180
551,Tashara,55.52,83.51,73.29,90,2,6.85,RU,1593693181
552,Charters Towers,-20.1,146.27,60.03,85,0,7.94,AU,1593693181
553,Altay,47.87,88.12,73.31,40,20,4.61,CN,1593693182
554,Ulverstone,-41.15,146.17,45.0,80,99,12.88,AU,1593693182
555,Alta Floresta,-9.88,-56.09,79.07,57,84,4.36,BR,1593693183
556,Zeya,53.75,127.27,68.16,59,0,0.2,RU,1593693183
557,Saint-François,46.42,3.91,73.4,49,90,9.17,FR,1593693184
558,Broome,42.25,-75.83,64.0,93,90,3.36,US,1593693184
