,city,lat,lon,max_temp,humidity,cloudiness,wind speed,country,date
85,Torbay,47.67,-52.73,55.0,100,90,9.17,CA,1593692893
86,Thompson,55.74,-97.86,59.0,100,90,4.7,CA,1593692513
87,Seoul,37.57,126.98,80.6,65,20,3.04,KR,1593692879
88,Adelaide,-34.93,138.6,52.0,76,75,8.05,AU,1593692695
89,Departamento de Maldonado,-34.67,-54.92,50.0,81,75,16.11,UY,1593692895
90,Ordzhonīkīdze,52.44,61.74,67.37,44,30,12.06,KZ,1593692896
91,Saint Paul Harbor,57.79,-152.41,51.8,81,1,8.05,US,1593692471
92,Sterling,39.01,-77.43,73.99,69,20,6.93,US,1593692898
93,El Porvenir,13.76,-87.35,68.59,85,100,4.7,HN,1593692898
94,São José de Ribamar,-2.56,-44.05,84.2,79,20,12.75,BR,1593692899
95,Talnakh,69.49,88.4,64.4,45,5,6.71,RU,1593692899
96,Qaanaaq,77.48,-69.36,41.25,71,79,3.53,GL,1593692482
97,Codrington,-38.27,141.97,44.37,90,95,10.69,AU,1593692900
98,Jiangyou,31.77,104.72,80.83,59,19,3.24,CN,1593692901
99,Synya,65.37,58.04,68.29,38,100,9.82,RU,1593692901
100,Olafsvik,64.89,-23.71,52.95,61,2,7.11,IS,1593692902
101,Rosario,-32.95,-60.64,37.99,100,90,0.54,AR,1593692902
102,Mehamn,71.04,27.85,46.4,81,90,18.34,NO,1593692903
103,Nabire,-3.37,135.48,79.12,78,98,2.39,ID,1593692697
104,Kruisfontein,-34.0,24.73,65.05,49,16,17.07,ZA,1593692904
105,Plettenberg Bay,-34.05,23.37,65.75,56,5,14.16,ZA,1593692904
106,Comodoro Rivadavia,-45.87,-67.5,39.2,86,40,2.24,AR,1593692905
107,Chui,-33.7,-53.46,42.66,86,26,8.84,UY,1593692906
108,Schöningen,52.14,10.97,73.99,62,48,10.16,DE,1593692728
109,Geraldton,-28.77,114.6,51.8,81,0,9.17,AU,1593692852
110,Hudson Bay,52.85,-102.38,59.9,85,0,3.4,CA,1593692907
111,Karratha,-20.74,116.85,73.44,49,74,6.53,AU,1593692908
112,Cape Town,-33.93,18.42,64.99,82,75,11.41,ZA,1593692472
113,Ubari,26.59,12.78,102.16,8,0,16.51,LY,1593692909
114,Bosobolo,4.18,19.9,85.46,65,54,2.77,CD,1593692909
115,Tepeojuma,18.72,-98.45,50.0,88,56,1.01,MX,1593692910
116,Banda Aceh,5.56,95.32,82.8,77,44,13.85,ID,1593692911
117,Jieshi,22.81,115.83,82.78,86,100,9.15,CN,1593692911
118,Dakar,14.69,-17.44,86.0,70,40,6.93,SN,1593692912
119,Constitución,-35.33,-72.42,48.27,82,93,5.7,CL,1593692912
120,Lengshuitan,26.41,111.6,82.69,83,100,1.43,CN,1593692913
121,Arlit,18.74,7.39,106.21,8,0,5.79,NE,1593692913
122,Tommot,58.96,126.29,66.15,80,75,2.98,RU,1593692914
123,Bredasdorp,-34.53,20.04,71.6,53,14,18.34,ZA,1593692469
124,Sawtell,-30.38,153.1,55.4,76,3,1.12,AU,1593692915
125,Severobaykal'sk,55.65,109.32,64.42,61,0,3.24,RU,1593692916
126,Emba,48.83,58.14,76.69,24,5,10.69,KZ,1593692520
127,San Fernando del Valle de Catamarca,-28.47,-65.79,36.0,82,4,3.0,AR,1593692917
128,Birjand,32.87,59.22,96.8,8,40,18.34,IR,1593692918
